timestamp,x,y,"00:08:9f:7e:73:f6,2.4,irunsipal","00:40:5a:af:48:82,2.4,U+zone","00:40:5a:af:48:83,2.4,FREE_U+zone","00:40:5a:af:68:61,2.4,U+village","00:40:5a:af:68:62,2.4,U+zone","00:40:5a:af:68:63,2.4,FREE_U+zone","00:40:5a:af:7b:2a,2.4,U+zone","00:40:5a:af:7b:2b,2.4,FREE_U+zone",,"00:40:5a:af:98:ba,2.4,U+zone",,"00:40:5a:af:c2:8a,2.4,U+zone","00:40:5a:af:ca:39,2.4,U+village","00:40:5a:af:ca:3a,2.4,U+zone","00:40:5a:af:ca:3b,2.4,FREE_U+zone","00:40:5a:af:e1:99,2.4,U+village","00:40:5a:af:e1:9a,2.4,U+zone","00:40:5a:af:e1:9b,2.4,FREE_U+zone","1c:39:29:23:98:f4,2.4,AT_401_CST_570004_WW_98f4","1c:39:29:23:99:2a,2.4,AT_401_CST_570004_WW_992a","1c:39:29:23:99:38,2.4,AT_401_CST_570004_WW_9938","1c:39:29:23:99:41,2.4,AT_401_CST_570004_WW_9941","1c:39:29:23:99:e6,2.4,AT_401_CST_570004_WW_99e6","1c:39:29:23:99:fb,2.4,AT_401_CST_570004_WW_99fb","1c:39:29:23:c5:94,2.4,AT_401_CST_570004_WW_c594","1c:39:29:28:66:24,2.4,AT_401_CST_570004_WW_6624","1c:39:29:28:66:52,2.4,AT_401_CST_570004_WW_6652","1c:bf:ce:2d:aa:95,2.4,GNET_BB_L2_2DAA95","1c:e8:9e:63:97:1c,2.4,Samsung Floor A/C_E50AJTAF189T","1e:39:29:b7:ea:ba,2.4,[LG_AirPurifier]eaba","24:f2:7f:ff:5c:e2,2.4,Hallym WiFi","24:f2:7f:ff:5c:e3,2.4,eduroam","24:f2:7f:ff:5c:f2,5.0,Hallym WiFi","24:f2:7f:ff:5c:f3,5.0,eduroam","24:f2:7f:ff:5c:f4,5.0,Hallym Univ","24:f2:7f:ff:5d:23,2.4,eduroam","24:f2:7f:ff:5d:24,2.4,Hallym Univ","24:f2:7f:ff:5d:33,5.0,eduroam","24:f2:7f:ff:5d:34,5.0,Hallym Univ","24:f2:7f:ff:5d:b2,5.0,Hallym WiFi","24:f2:7f:ff:5d:b3,5.0,eduroam","24:f2:7f:ff:5d:b4,5.0,Hallym Univ","24:f2:7f:ff:5e:82,2.4,Hallym WiFi","24:f2:7f:ff:5e:83,2.4,eduroam","24:f2:7f:ff:5e:92,5.0,Hallym WiFi","24:f2:7f:ff:5e:93,5.0,eduroam","24:f2:7f:ff:5e:94,5.0,Hallym Univ","24:f2:7f:ff:61:02,2.4,Hallym WiFi","24:f2:7f:ff:61:12,5.0,Hallym WiFi","24:f2:7f:ff:61:13,5.0,eduroam","24:f2:7f:ff:61:14,5.0,Hallym Univ","24:f2:7f:ff:61:22,2.4,Hallym WiFi","24:f2:7f:ff:61:23,2.4,eduroam","24:f2:7f:ff:61:24,2.4,Hallym Univ","24:f2:7f:ff:61:32,5.0,Hallym WiFi","24:f2:7f:ff:61:33,5.0,eduroam","24:f2:7f:ff:61:34,5.0,Hallym Univ","24:f2:7f:ff:61:62,2.4,Hallym WiFi","24:f2:7f:ff:61:63,2.4,eduroam","24:f2:7f:ff:61:64,2.4,Hallym Univ","24:f2:7f:ff:61:72,5.0,Hallym WiFi","24:f2:7f:ff:61:73,5.0,eduroam","24:f2:7f:ff:61:74,5.0,Hallym Univ","24:f2:7f:ff:63:a2,2.4,Hallym WiFi","24:f2:7f:ff:63:a3,2.4,eduroam","24:f2:7f:ff:63:a4,2.4,Hallym Univ","24:f2:7f:ff:63:b2,5.0,Hallym WiFi","24:f2:7f:ff:63:b3,5.0,eduroam","24:f2:7f:ff:63:b4,5.0,Hallym Univ","24:f2:7f:ff:64:e2,2.4,Hallym WiFi","24:f2:7f:ff:64:e3,2.4,eduroam","24:f2:7f:ff:64:e4,2.4,Hallym Univ","24:f2:7f:ff:64:f2,5.0,Hallym WiFi","24:f2:7f:ff:64:f3,5.0,eduroam","24:f2:7f:ff:64:f4,5.0,Hallym Univ","24:f2:7f:ff:65:72,5.0,Hallym WiFi","24:f2:7f:ff:65:73,5.0,eduroam","24:f2:7f:ff:65:74,5.0,Hallym Univ","24:f2:7f:ff:80:12,5.0,Hallym WiFi","24:f2:7f:ff:80:13,5.0,eduroam","24:f2:7f:ff:80:14,5.0,Hallym Univ","24:f2:7f:ff:80:62,2.4,Hallym WiFi","24:f2:7f:ff:80:63,2.4,eduroam","24:f2:7f:ff:80:64,2.4,Hallym Univ","24:f2:7f:ff:80:72,5.0,Hallym WiFi","24:f2:7f:ff:80:73,5.0,eduroam","24:f2:7f:ff:80:74,5.0,Hallym Univ","24:f2:7f:ff:84:24,2.4,Hallym Univ","24:f2:7f:ff:84:32,5.0,Hallym WiFi","24:f2:7f:ff:84:33,5.0,eduroam","24:f2:7f:ff:84:34,5.0,Hallym Univ","24:f2:7f:ff:84:e4,2.4,Hallym Univ","24:f2:7f:ff:84:f2,5.0,Hallym WiFi","24:f2:7f:ff:84:f3,5.0,eduroam","24:f2:7f:ff:84:f4,5.0,Hallym Univ","24:f2:7f:ff:85:a2,2.4,Hallym WiFi","24:f2:7f:ff:85:a3,2.4,eduroam","24:f2:7f:ff:85:a4,2.4,Hallym Univ","24:f2:7f:ff:85:b2,5.0,Hallym WiFi","24:f2:7f:ff:85:b3,5.0,eduroam","24:f2:7f:ff:85:b4,5.0,Hallym Univ","32:24:a9:58:f8:70,2.4,DIRECT-70-HP OfficeJet Pro 8210","38:17:c3:c1:de:82,2.4,Hallym WiFi","38:17:c3:c1:de:83,2.4,eduroam","38:17:c3:c1:de:84,2.4,Hallym Univ","38:17:c3:c2:10:b2,5.0,Hallym WiFi","38:17:c3:c2:10:b3,5.0,eduroam","38:17:c3:c2:10:b4,5.0,Hallym Univ","38:17:c3:c2:13:a3,2.4,eduroam","38:17:c3:c2:14:44,2.4,eduroam","38:17:c3:c2:14:52,5.0,Hallym WiFi","38:17:c3:c2:14:53,5.0,Hallym Univ","38:17:c3:c2:14:54,5.0,eduroam","38:17:c3:c2:15:02,2.4,Hallym WiFi","38:17:c3:c2:15:03,2.4,eduroam","38:17:c3:c2:15:04,2.4,Hallym Univ","38:17:c3:c2:15:12,5.0,Hallym WiFi","38:17:c3:c2:15:13,5.0,eduroam","38:17:c3:c2:15:14,5.0,Hallym Univ","3c:d9:2b:a5:cc:fc,2.4,HP-Print-FC-Officejet Pro 8600","40:b8:9a:9a:17:cc,2.4,HP-Print-CC-Color LaserJet Pro","44:48:c1:27:96:02,2.4,Hallym WiFi","44:48:c1:27:96:03,2.4,Hallym Univ","58:86:94:7f:45:6c,2.4,1347","58:86:94:ae:50:ca,2.4,1348-2.4G","58:86:94:ae:50:cb,5.0,1348-5G","5a:86:94:4f:45:6c,5.0,1347_5G","60:d0:2c:0d:4d:58,2.4,KT_FREE_WIFI","60:d0:2c:0d:4d:5c,5.0,KT_FREE_WIFI","60:d0:2c:4d:4d:53,2.4,island-0D4D50","70:5d:cc:ae:25:34,2.4,AV CONTROL","86:25:19:a5:38:51,2.4,DIRECT-51 C51x Series","86:25:19:c5:e3:8e,2.4,DIRECT-8E C56x Series","86:25:19:c6:f7:3f,2.4,DIRECT-3F C56x Series","88:36:6c:9b:0a:f0,2.4,IML1367","88:a9:a7:93:25:bd,2.4,Adventurer 3","b0:38:6c:09:98:10,5.0,1350_5G","b0:38:6c:09:98:12,2.4,1350","b0:38:6c:29:01:2c,2.4,1316","b2:38:6c:49:95:d8,5.0,","bc:10:2f:45:43:8f,2.4,Samsung Room A/C_E50AJTAR195N","bc:10:2f:55:d5:45,2.4,Samsung Room A/C_E50AJTAR107B","bc:10:2f:55:d5:97,2.4,Samsung Room A/C_E50AJTAR138E","cc:88:c7:be:e4:51,5.0,","cc:88:c7:be:e4:52,5.0,Hallym WiFi","de:03:98:3b:9d:2c,2.4,AT_401_CST_570004_WW_9d2c"
1.74766E+12,0.69994157,-0.009044253,-100,-100,-76,-100,-100,-100,-78,-75,,-63,,-100,-100,-100,-100,-66,-68,-66,-100,-76,-100,-100,-100,-100,-100,-100,-100,-100,-100,-73,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-60,-60,-60,-75,-64,-64,-64,-100,-100,-100,-100,-100,-100,-100,-100,-100,-78,-78,-78,-100,-100,-100,-69,-69,-69,-68,-68,-68,-71,-71,-71,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-77,-62,-100,-100,-76,-100,-71,-100,-100,-100,-100,-100,-100,-100,-82,-70,-70,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-81,-100,-80,-100,-100,-76,-100,-100,-100,-77
1.74766E+12,1.399939532,-0.00735504,-100,-100,-76.77898109,-96.36503997,-95.2328974,-94.93692231,-85.18146385,-83.35262823,,-61.80324825,,-100,-93.98108263,-92.67318335,-100,-67.76481051,-68.67807885,-76.57887392,-100,-74.81749044,-99.31911008,-100,-100,-100,-100,-100,-100,-95.2328974,-100,-79.66710604,-90.7851321,-92.26889782,-100,-100,-100,-100,-100,-100,-99.7997439,-99.79369951,-99.81097534,-99.81097534,-100,-100,-58.85148728,-61.35124719,-61.3511886,-81.17841895,-62.95247582,-62.95247582,-62.9441075,-100,-100,-100,-99.71610351,-99.72065254,-100,-96.07042435,-95.45473452,-95.76969074,-78.82064423,-78.82064423,-78.82051372,-87.51949094,-87.51949094,-87.63883902,-66.46618674,-66.46297386,-66.52134048,-75.89042144,-75.89042144,-75.89042144,-68.5511565,-68.59122288,-80.0957748,-100,-100,-100,-100,-99.8382795,-99.82702865,-100,-100,-100,-100,-99.40340481,-100,-99.4709177,-99.7593277,-99.7593277,-100,-100,-100,-99.72519106,-99.72519106,-76.65574364,-62.70627338,-91.89775818,-100,-83.89237058,-100,-66.84379479,-100,-100,-100,-99.84578483,-99.80542556,-99.80542556,-100,-86.47373269,-68.49337122,-68.48148313,-91.14970308,-91.37870469,-100,-91.68252527,-93.14809921,-93.15019536,-93.14809921,-100,-99.62311816,-100,-100,-100,-96.10845284,-100,-100,-100,-97.59843343,-100,-100,-99.65685396,-86.33267264,-99.45404474,-100,-100,-87.51454421,-100,-84.95952341,-100,-100,-82.13412726,-100,-100,-99.74221266,-82.79358734
1.74766E+12,2.098815539,0.032297534,-100,-100,-76.57758537,-93.08556837,-91.99443141,-91.45718208,-90.19119228,-89.24121945,,-60.10333473,,-99.90444906,-89.12342553,-86.47257551,-100,-68.68827633,-68.70735751,-84.51429618,-100,-73.65570134,-99.29098775,-99.83410367,-99.61214564,-99.94089831,-100,-100,-100,-91.99443141,-100,-84.7357475,-83.94326111,-86.62578462,-99.92612288,-99.92612288,-99.93104802,-100,-100,-99.88866502,-100,-99.99003718,-100,-100,-100,-100,-58.92684706,-61.92893411,-61.9300188,-85.82122136,-61.52278054,-61.52278054,-61.50965946,-100,-99.92360188,-100,-99.98125725,-100,-100,-92.66358771,-91.57790165,-92.1100967,-78.46478067,-78.46478067,-78.48769547,-78.04284571,-78.04284571,-78.41459724,-65.12295291,-65.11145434,-65.02738467,-82.02158702,-82.02158702,-82.02158702,-66.21425787,-67.01893553,-86.71915573,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-99.41689137,-100,-99.51756681,-99.94126202,-99.94126202,-99.90032791,-100,-99.88866502,-100,-100,-76.60892051,-64.30900144,-85.61790073,-100,-89.52679401,-100,-64.38126237,-100,-100,-100,-100,-100,-100,-99.94744937,-89.61865129,-67.98479136,-68.00813433,-84.76192688,-85.01633637,-99.91206475,-85.52356484,-88.02222543,-88.01945342,-88.02222543,-100,-99.74304056,-99.91078967,-99.91078967,-100,-91.90274613,-100,-100,-100,-94.92195104,-100,-100,-99.89509584,-75.86264289,-99.49247415,-100,-100,-92.00180337,-100,-88.53387338,-100,-100,-86.96695946,-100,-100,-99.91672328,-87.31637821
1.74766E+12,2.798672844,0.046430902,-100,-100,-76.02583748,-90.10676861,-89.46485148,-88.74029991,-93.91611797,-93.56555868,,-58.35456398,,-99.67037704,-84.5559659,-80.94979643,-100,-69.22670718,-68.52207506,-90.52982624,-100,-72.73813805,-99.48141155,-99.657226,-99.24717074,-99.79990919,-100,-100,-100,-89.46485148,-100,-89.08655906,-78.61701887,-82.22982322,-99.74988649,-99.74988649,-99.76656072,-100,-100,-99.70522894,-100,-100,-100,-100,-100,-99.93664869,-59.5656776,-62.24224503,-62.24414817,-89.81151487,-60.09908724,-60.09908724,-60.08490956,-100,-99.73858885,-99.88546491,-100,-100,-100,-89.44875789,-88.00375559,-88.59349863,-77.71119519,-77.71119519,-77.74997206,-70.67203773,-70.67203773,-71.17888628,-64.00415987,-63.98819777,-63.79344681,-87.27191849,-87.27191849,-87.27191849,-64.23315026,-65.69076027,-91.73169359,-100,-100,-100,-100,-100,-100,-99.94956274,-99.97540468,-99.93664869,-100,-99.61352842,-100,-99.71907056,-100,-100,-99.7163016,-100,-99.70522894,-100,-100,-76.48627796,-66.30644059,-80.22458205,-100,-93.69120339,-100,-62.88731462,-100,-100,-100,-100,-100,-100,-99.76195377,-92.34075867,-67.98862228,-68.04116653,-79.73936076,-80.06219648,-99.68609925,-80.72859216,-83.76667544,-83.76005778,-83.76667544,-100,-99.95445251,-99.68346081,-99.68346081,-100,-87.8693981,-100,-100,-100,-92.330073,-100,-100,-100,-67.72387458,-99.69281322,-100,-99.86016881,-95.2408131,-100,-91.61959304,-100,-100,-91.00225052,-100,-100,-100,-91.12938913
1.74766E+12,3.497966824,0.077862253,-100,-100,-75.16989654,-87.41837395,-87.58859435,-86.72638745,-96.45710882,-96.45135041,,-56.57418126,,-99.47975825,-80.27060528,-76.05425407,-100,-69.43137103,-68.16040506,-94.7985481,-100,-72.05528095,-99.84698109,-99.50776744,-98.96977538,-99.68522187,-100,-100,-100,-87.58859435,-100,-92.768083,-74.68613675,-78.98228631,-99.60652734,-99.60652734,-99.63275885,-100,-100,-99.536792,-100,-100,-100,-100,-100,-99.71489312,-60.71228129,-62.32324146,-62.32567291,-93.19320313,-58.70707411,-58.70707411,-58.6949288,-100,-99.56052053,-99.67398745,-100,-100,-100,-86.40953764,-84.70638563,-85.21885903,-76.6003343,-76.6003343,-76.64862892,-65.23943302,-65.23943302,-65.78111511,-63.09603878,-63.07887495,-62.80238572,-91.70154452,-91.70154452,-91.70154452,-62.59697677,-64.59694459,-95.27244467,-100,-100,-100,-100,-100,-100,-99.72527905,-99.74608419,-99.71489312,-100,-99.95583216,-100,-100,-100,-100,-99.54459526,-100,-99.536792,-100,-100,-76.29229939,-68.63297359,-75.65613493,-100,-96.50823236,-100,-62.2768929,-100,-100,-100,-100,-100,-100,-99.57788435,-94.66768634,-68.46148369,-68.5374337,-75.98019679,-76.40463447,-99.50172467,-77.1893119,-80.32177361,-80.31225054,-80.32177361,-100,-100,-99.4980356,-99.4980356,-100,-84.02012138,-100,-100,-100,-89.83061029,-100,-100,-100,-61.73026656,-100,-100,-99.6539416,-97.34350213,-100,-94.24896711,-100,-100,-94.30641309,-100,-100,-100,-94.2883392
1.74766E+12,4.197873654,0.089282824,-100,-100,-74.05592168,-85.01011769,-86.31009677,-85.35555637,-97.91503268,-98.02429912,,-54.77943187,,-99.33024766,-76.25924523,-71.73535638,-100,-69.35353586,-67.66052105,-97.49354576,-100,-71.59761042,-100,-99.38670135,-98.77431993,-99.59541098,-100,-100,-100,-86.31009677,-100,-95.82886161,-72.03034611,-76.78444659,-99.49426372,-99.49426372,-99.52797947,-100,-100,-99.38711037,-100,-100,-100,-100,-100,-99.46933719,-62.31096052,-62.20398488,-62.20668923,-96.01018984,-57.37241936,-57.37241936,-57.36478816,-100,-99.39487321,-99.44796708,-100,-100,-99.71046906,-83.52952969,-81.65988106,-81.98514036,-75.17264451,-75.17264451,-75.22495151,-61.57739762,-61.57739762,-62.07069271,-62.38482081,-62.36915666,-62.03706017,-95.37059376,-95.37059376,-95.37059376,-61.29488047,-63.72773598,-97.48046528,-100,-100,-100,-100,-100,-100,-99.47486636,-99.48597566,-99.46933719,-99.56177426,-100,-100,-100,-100,-100,-99.38953887,-100,-99.38711037,-100,-100,-76.03146821,-71.22298319,-71.85089219,-100,-98.10051458,-100,-62.46493858,-99.44712075,-99.65376541,-100,-100,-100,-100,-99.40187694,-96.62706583,-69.35999531,-69.45378979,-73.38262702,-73.93199981,-99.35671291,-74.7974287,-77.62784431,-77.61627376,-77.62784431,-100,-100,-99.35226633,-99.35226633,-100,-80.36662861,-100,-99.48859021,-100,-87.43137389,-100,-100,-100,-57.69571771,-100,-99.54568867,-99.4377644,-98.42179917,-100,-96.45428031,-99.52361418,-100,-96.94585988,-100,-100,-100,-96.84894757
1.74766E+12,4.897815618,0.08026913,-100,-100,-74,-83,-84,-83,-100,-100,,-54,,-100,-71,-67,-100,-70,-68,-100,-100,-72,-100,-100,-100,-100,-100,-100,-100,-84,-100,-100,-69,-74,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-63,-63,-63,-100,-57,-57,-57,-100,-100,-100,-100,-100,-100,-80,-78,-78,-75,-75,-75,-58,-58,-58,-60,-60,-60,-100,-100,-100,-61,-62,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-75,-73,-67,-100,-100,-100,-62,-100,-100,-100,-100,-100,-100,-100,-100,-70,-70,-70,-71,-100,-72,-74,-74,-74,-100,-100,-100,-100,-100,-78,-100,-100,-100,-86,-100,-100,-100,-54,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
1.74766E+12,5.597815506,0.08066658,-100,-95.74802471,-71.23850672,-80.99295349,-85.32412724,-84.30358503,-97.98515098,-97.73448549,,-51.21581412,,-99.14517075,-69.02613305,-64.62512681,-95.07605853,-68.55544038,-66.39880523,-98.85470446,-100,-71.31975065,-100,-99.23364,-98.60667028,-99.48471704,-100,-100,-100,-85.32412724,-100,-100,-70.06296478,-75.14294945,-99.35589631,-99.35589631,-99.39883655,-96.97344401,-100,-99.15903769,-100,-100,-100,-100,-96.52637197,-98.96632476,-66.64175519,-61.49295873,-61.49558137,-100,-54.97789785,-54.97789785,-54.98431121,-100,-99.12274677,-99.00232549,-100,-100,-97.02225783,-78.18156166,-76.21582521,-75.93631569,-71.52856436,-71.52856436,-71.5757356,-58.89449883,-58.89449883,-59.1095301,-61.49801894,-61.49121691,-61.1150509,-100,-100,-100,-59.64949178,-62.62412988,-98.45454025,-97.65822842,-97.65860274,-97.65860274,-100,-100,-100,-98.95752831,-98.94001555,-98.96632476,-98.07142912,-100,-100,-100,-100,-100,-99.14669589,-100,-99.15903769,-100,-100,-75.32718156,-76.93096327,-66.28335104,-96.45349945,-98.10137339,-96.45349945,-64.89619756,-97.30259506,-97.41113539,-100,-100,-100,-100,-99.10059146,-99.55370633,-72.26044804,-72.37418452,-71.26503837,-72.09491032,-99.17586548,-73.02267211,-74.25420085,-74.24077988,-74.25420085,-100,-100,-99.17070468,-99.17070468,-97.05208551,-73.69384543,-97.11340757,-97.59555689,-95.95408915,-82.96482394,-96.25955102,-100,-100,-54.75939289,-100,-97.36697303,-99.02086497,-97.95293218,-97.18130504,-99.72186301,-97.38929212,-96.77644289,-100,-99.22958943,-100,-100,-100
1.74766E+12,6.297799736,0.085365143,-100,-92.08895408,-69.62738487,-79.36351212,-85.50552877,-84.5026681,-96.79908117,-96.12313215,,-49.48143631,,-99.10491431,-65.78818402,-61.73261084,-90.91094774,-67.93771603,-65.71332053,-97.8670335,-100,-71.48052219,-100,-99.20359147,-98.62319681,-99.46098328,-100,-100,-100,-85.50552877,-100,-100,-70.51083681,-75.50183742,-99.3262291,-99.3262291,-99.37114716,-94.70953169,-100,-99.08815894,-100,-100,-100,-100,-93.74654798,-98.73861853,-69.26247543,-60.96531215,-60.96764959,-100,-53.9693875,-53.9693875,-53.98411688,-100,-99.02722024,-98.80771822,-100,-100,-95.33119462,-75.68080705,-73.7664525,-73.11913463,-69.39306701,-69.39306701,-69.43276799,-59.5383675,-59.5383675,-59.55760783,-61.29489738,-61.29433704,-60.92408475,-100,-100,-100,-59.28448557,-62.37022736,-97.49870722,-96.20138434,-96.21011067,-96.21011067,-100,-100,-100,-98.7215401,-98.68747456,-98.73861853,-97.14078969,-100,-99.36036319,-100,-100,-100,-99.06756927,-100,-99.08815894,-100,-100,-74.8926929,-79.91769927,-64.39771825,-93.8727524,-96.75521729,-93.8727524,-66.96929359,-96.01519896,-96.04254533,-100,-100,-100,-100,-98.98858504,-100,-74.17562858,-74.29193108,-71.54140362,-72.5071544,-99.13557361,-73.42320803,-73.45513543,-73.44174693,-73.45513543,-98.87215747,-100,-99.13041687,-99.13041687,-94.88243168,-70.69798028,-95.02443485,-96.45996092,-92.54927485,-80.91313237,-93.52654092,-100,-100,-55.48541464,-100,-95.98795308,-98.84279521,-96.62962558,-95.13357435,-100,-96.10060217,-94.32118234,-100,-97.60419021,-100,-100,-100
1.74766E+12,6.997185852,0.114674903,-100,-88.07073456,-67.9428656,-77.97314227,-86.06243684,-85.10527921,-94.93341588,-93.70175377,,-47.80167292,,-99.09638579,-62.79184177,-59.21437136,-86.29575315,-67.24256456,-65.04231603,-95.99797433,-100,-71.82840185,-100,-99.20582885,-98.69910473,-99.45642449,-100,-100,-100,-86.06243684,-100,-100,-71.7527258,-76.51551333,-99.32053061,-99.32053061,-99.36582857,-92.24237041,-100,-99.05106015,-100,-100,-100,-100,-90.7081585,-98.54661247,-72.11248079,-60.36565856,-60.36759418,-100,-53.12094836,-53.12094836,-53.14404663,-100,-98.96601989,-98.64859592,-100,-100,-93.45625782,-73.2736757,-71.46430234,-70.43872438,-67.10252685,-67.10252685,-67.13260786,-61.28226959,-61.28226959,-61.09067022,-61.23360363,-61.2397449,-60.89028931,-100,-100,-100,-59.21012888,-62.30192184,-95.76636889,-94.62493544,-94.64231189,-94.64231189,-100,-100,-100,-98.52129721,-98.47076664,-98.54661247,-96.09923823,-100,-98.40395067,-100,-100,-100,-99.02241253,-100,-99.05106015,-100,-100,-74.4092852,-82.90544292,-63.02862105,-90.99877436,-94.67484905,-90.99877436,-69.50062246,-94.62876887,-94.55858078,-100,-100,-100,-100,-98.91118394,-100,-76.34293819,-76.45718237,-72.57213132,-73.65772364,-99.12573217,-74.53795962,-73.16834006,-73.15551274,-73.16834006,-97.47189513,-100,-99.1207941,-99.1207941,-92.51889042,-67.94474959,-92.75112818,-95.23728901,-88.81353621,-78.99291103,-90.47538359,-100,-100,-57.42609099,-100,-94.43819014,-98.70008039,-94.72964187,-92.90931689,-100,-94.70938241,-91.63643931,-100,-95.67640805,-100,-100,-100
